res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
720x480p@119_16:9,Null,480p119SH,VIC049a,1,0,0,Null,Null,Null,Null,49,Null,16:09,858,720,16,62,-,prog,119.89,525,480,9,6,-,53.9999,|,x,x,x,x,x,x,,,,,,,,
720x480p@120_16:9,Null,480p120SH,VIC049b,1,0,0,Null,Null,Null,Null,49,Null,16:09,858,720,16,62,-,prog,120,525,480,9,6,-,54.054,|,x,x,x,x,x,x,,,,,,,,
720x480p@239_16:9,Null,480p239SH,VIC057a,1,0,0,Null,Null,Null,Null,57,Null,16:09,858,720,16,62,-,prog,239.77,525,480,9,6,-,107.9999,|,x,x,x,x,x,x,,,,,,,,
720x480p@240_16:9,Null,480p240SH,VIC057b,1,0,0,Null,Null,Null,Null,57,Null,16:09,858,720,16,62,-,prog,240,525,480,9,6,-,108.108,|,x,x,x,x,x,x,,,,,,,,
720x487i@29,1440x244,487i29,487i29,1,0,0,Null,Null,Null,Null,0,Null,Null,1716,720,38,124,-,int,59.93,263,487,4,3,-,13.4999,|,,,x,,,x,,,,,,,,
720x576i@25_4:3,1440x288,576i25,VIC021,1,0,0,Null,Null,Null,Null,21,Null,4:03,1728,720,24,126,-,int,50,312,576,2,3,-,13.5,|,,,x,,,x,,,,,,,,
720x576i@50_4:3,1440x288,576i50,VIC044,1,0,0,Null,Null,Null,Null,44,Null,4:03,1728,720,24,126,-,int,100,312,576,2,3,-,27,|,x,x,x,x,x,x,,,,,,,,
720x576i@100_4:3,1440x288,576i100,VIC054,1,0,0,Null,Null,Null,Null,54,Null,4:03,1728,720,24,126,-,int,200,312,576,2,3,-,54,|,x,x,x,x,x,x,,,,,,,,
720x576i@25_16:9,1440x288,576i25SH,VIC022,1,0,0,Null,Null,Null,Null,22,Null,16:09,1728,720,24,126,-,int,50,312,576,2,3,-,13.5,|,x,x,x,,,x,,,,,,,,
720x576i@50_16:9,1440x288,576i50SH,VIC045,1,0,0,Null,Null,Null,Null,45,Null,16:09,1728,720,24,126,-,int,100,312,576,2,3,-,27,|,x,x,x,x,x,x,,,,,,,,
720x576i@100_16:9,1440x288,576i100SH,VIC055,1,0,0,Null,Null,Null,Null,55,Null,16:09,1728,720,24,126,-,int,200,312,576,2,3,-,54,|,x,x,x,x,x,x,,,,,,,,
720x576p@50_4:3,Null,576p50,VIC017,1,0,0,Null,Null,Null,Null,17,Null,4:03,864,720,12,64,-,prog,50,625,576,5,5,-,27,|,x,x,x,x,x,x,,,,,,,,
720x576p@100_4:3,Null,576p100,VIC042,1,0,0,Null,Null,Null,Null,42,Null,4:03,864,720,12,64,-,prog,100,625,576,5,5,-,54,|,x,x,x,x,x,x,,,,,,,,
720x576p@200_4:3,Null,576p200,VIC052,1,0,0,Null,Null,Null,Null,52,Null,4:03,864,720,12,64,-,prog,200,625,576,5,5,-,108,|,x,x,x,x,x,x,,,,,,,,
720x576p@50_16:9,Null,576p50SH,VIC018,1,0,0,Null,Null,Null,Null,18,Null,16:09,864,720,12,64,-,prog,50,625,576,5,5,-,27,|,x,x,x,x,x,x,,x,x,x,x,x,,
720x576p@100_16:9,Null,576p100SH,VIC043,1,0,0,Null,Null,Null,Null,43,Null,16:09,864,720,12,64,-,prog,100,625,576,5,5,-,54,|,x,x,x,x,x,x,,x,x,x,x,x,,
720x576p@200_16:9,Null,576p200SH,VIC053,1,0,0,Null,Null,Null,Null,53,Null,16:09,864,720,12,64,-,prog,200,625,576,5,5,-,108,|,x,x,x,x,x,x,,x,x,x,x,x,,
